OR492347.1,Thailand,XBB.1.16,partial
OR492348.1,Thailand,XBB.1.16,partial
OR492349.1,Thailand,FL.4,partial
OR492350.1,Thailand,EG.5.1.1,partial
OR492351.1,Thailand,FL.4,partial
OR492352.1,Thailand,FL.4,partial
OR492353.1,Thailand,FL.4,partial
OR492354.1,Thailand,XBB.1.16,partial
OR492355.1,Thailand,FL.4,partial
OR492356.1,Thailand,XBB.1.9.1,partial
OR492357.1,Thailand,XBB.2.3.11,partial
BS007411.1,Japan,XBB.1.16.1,complete
BS007412.1,Japan,XBB.1.16,complete
BS007413.1,Japan,GJ.1,complete
BS007414.1,Japan,XBB.1.16,complete
BS007415.1,Japan,BQ.1.1,complete
BS007416.1,Japan,FL.4,complete
BS007417.1,Japan,EG.2,complete
BS007418.1,Japan,XBB.1.9.1,complete
BS007419.1,Japan,XBB.1.9.1,complete
BS007420.1,Japan,XBB.1.9.1,complete
BS007421.1,Japan,FL.15,complete
BS007422.1,Japan,XBB.1.16,complete
BS007423.1,Japan,FL.15,complete
BS007424.1,Japan,XBB.1.16,complete
BS007425.1,Japan,XBB.1.16,complete
BS007426.1,Japan,FY.4,complete
BS007427.1,Japan,XBB.1.16,complete
BS007428.1,Japan,XBB.1.16,complete
BS007429.1,Japan,XBB.1.9.1,complete
BS007430.1,Japan,XBB.1.9.1,complete
BS007431.1,Japan,XBB.2.3,complete
BS007432.1,Japan,XBB.2.3.2,complete
BS007433.1,Japan,EG.1,complete
BS007434.1,Japan,EG.1,complete
BS007435.1,Japan,XBB.1.16,complete
BS007436.1,Japan,EG.5.1,complete
BS007437.1,Japan,XBB.1.9.1,complete
BS007438.1,Japan,FY.2,complete
BS007439.1,Japan,FL.4,complete
BS007440.1,Japan,EG.1,complete
BS007441.1,Japan,FP.4,complete
BS007442.1,Japan,FP.4,complete
BS007443.1,Japan,FP.4,complete
BS007444.1,Japan,FP.4,complete
BS007445.1,Japan,FP.4,complete
BS007446.1,Japan,FP.4,complete
BS007447.1,Japan,FP.4,complete
BS007448.1,Japan,FP.4,complete
BS007449.1,Japan,FP.4,complete
BS007450.1,Japan,FP.4,complete
BS007451.1,Japan,BA.5.2.34,complete
BS007452.1,Japan,FP.4,complete
BS007453.1,Japan,FP.4,complete
BS007454.1,Japan,DV.6.2,complete
BS007455.1,Japan,GJ.1.1,complete
BS007456.1,Japan,GJ.1,complete
BS007457.1,Japan,FY.3.1,complete
BS007458.1,Japan,EG.5.1,complete
BS007459.1,Japan,GE.1,complete
BS007460.1,Japan,XBB.1.22.1,complete
BS007461.1,Japan,XBB.1.16,complete
BS007462.1,Japan,FL.14,complete
BS007463.1,Japan,XBB.1.42,complete
LC777461.1,Japan,FR.1,complete
LC777462.1,Japan,XBB.2.3.6,complete
LC777463.1,Japan,FR.1,complete
LC777464.1,Japan,FR.1,complete
LC777465.1,Japan,EG.5.1,complete
LC777466.1,Japan,FL.15,complete
LC777467.1,Japan,FL.15,complete
LC777468.1,Japan,FL.4,complete
LC777469.1,Japan,FL.4,complete
OR481913.1,Kazakhstan,XBB.1.44.1,partial
OR481953.1,Kazakhstan,GP.2,complete
OR482142.1,Kazakhstan,GP.2,complete
OR482634.1,Kazakhstan,XBB.1,partial
BS007404.1,Japan,XBB.1.16,complete
BS007405.1,Japan,XBB.1.16,complete
BS007406.1,Japan,EG.5.1,complete
BS007407.1,Japan,XBB.2.3.3,complete
BS007408.1,Japan,XBB.1.16.2,complete
BS007409.1,Japan,XBB.1.16,complete
BS007410.1,Japan,XBB.1.16,complete
LC776703.1,Japan,BF.5,complete
LC776704.1,Japan,BF.5,complete
LC776705.1,Japan,XBB.1.5.19,complete
LC776706.1,Japan,BF.5,complete
LC776707.1,Japan,BQ.1.1.70,complete
LC776708.1,Japan,BA.5.2,complete
LC776709.1,Japan,BE.1.1,complete
LC776710.1,Japan,BA.5.2,complete
LC776711.1,Japan,BA.5.2,complete
LC776712.1,Japan,BA.5.2,complete
LC776713.1,Japan,BF.7.19.1,complete
LC776714.1,Japan,BA.5.2,complete
LC776715.1,Japan,FL.1,complete
LC776716.1,Japan,XBF,complete
LC776717.1,Japan,CH.1.1.1,complete
LC776718.1,Japan,CH.1.1.26,complete
LC776719.1,Japan,BA.5.2,complete
LC776720.1,Japan,BQ.1.1,complete
LC776721.1,Japan,BN.1.3,complete
LC776722.1,Japan,BF.7.19.1,complete
OR462793.1,Laos,AY.1,complete
OR462794.1,Laos,AY.1,complete
OR462795.1,Laos,AY.1,partial
OR462796.1,Laos,AY.1,partial
OR462797.1,Laos,AY.1,partial
OR462798.1,Laos,AY.30,complete
OR462799.1,Laos,AY.85,complete
OR462800.1,Laos,XBB.1.16,partial
